index,zipcode,age_years,height_in_inches,bmi,fastfood_consumption,Fresh_FV,MedianFamilyIncome,lapophalfshare,no_college,higher_ed_frac,white_frac,black_frac,hispanic_frac,asian_frac,yelp_category_fastfood_frac,male_frac,soda_consumption
8893,92627,35.89225589,66.36952357,26.67830471,0.282523824,0.656153789,71171.38,0.35619208,0.671344235,0.328655765,0.479111556,0.00437125,0.445012581,0.039228337,0.017738359,0.239057239,0.017131571
8894,92629,41.21276596,67.11971631,26.21142482,0.244212901,0.607361915,100289.3,0.439339256,0.511803406,0.488196594,0.768220323,0.005411053,0.171586372,0.030787028,0.033768227,0.312056738,0.017594541
8895,92630,39.7987013,66.58684968,28.21042045,0.307964728,0.645190705,95089.63,0.406393434,0.58790232,0.41209768,0.546602053,0.02229826,0.259311406,0.132627167,0.037735849,0.246753247,0.016095808
8896,92646,39.22413793,66.48186897,27.02093333,0.274041224,0.652357118,100315.05,0.437772925,0.573403523,0.426596477,0.702938955,0.009262923,0.13291845,0.110489586,0.04576659,0.264367816,0.014479197
8897,92647,36.86940299,66.08307948,27.75091269,0.315067441,0.656828966,76973.86,0.266675185,0.641515457,0.358484543,0.525675124,0.014554948,0.294949825,0.118609774,0.041297935,0.27238806,0.023923044
8898,92648,38.74233129,66.61101258,26.55172301,0.282116323,0.710583263,104046.64,0.471550632,0.544803965,0.455196035,0.670153666,0.010796419,0.177753087,0.100039831,0.043445693,0.266871166,0.015412302
8899,92649,40.80555556,66.52045694,27.29958565,0.306822331,0.593842567,109412.67,0.472794012,0.551748416,0.448251584,0.682600782,0.008384806,0.13645451,0.121624444,0.052428682,0.236111111,0.011946261
8900,92651,42.43478261,66.988525,26.38063696,0.227121784,0.682545106,136024.48,0.705246183,0.323857654,0.676142346,0.842678368,0.008126117,0.072200553,0.048756704,0.02,0.315217391,0.013327727
8901,92653,39.63190184,66.88199141,26.44134294,0.332371149,0.709819254,96548.15,0.503087027,0.532695837,0.467304163,0.584986909,0.009094667,0.218650958,0.145790271,0.028248588,0.306748466,0.013783069
8902,92656,40.04601227,66.42988865,26.88335092,0.307251056,0.615135777,121712.16,0.67019317,0.42909143,0.57090857,0.607069839,0.025757141,0.159338875,0.155746632,0.026657061,0.285276074,0.014921692
